step,test_acc,mask_ratio,pl_quality,reinforcement_ratio,corrections_ratio,time_elapsed
0,0.1,0.0,0.0,,,47.46243357658386
500,0.3563,0.0965427294010825,0.09829145728643215,,,99.30980467796326
1000,0.3987,0.2463249511201866,0.22446231155778895,2.1362862010221466,1.6168224299065421,147.22316932678223
1500,0.4227,0.29050423312583007,0.3011859296482412,1.8913313977602655,1.6713780918727916,195.11480951309204
2000,0.4601,0.3218457868497353,0.3526834170854271,1.8801652892561984,1.5924050632911393,242.16323590278625
2500,0.4835,0.35239295751671307,0.3967035175879397,1.9987878787878788,2.0591133004926108,289.5325417518616
3000,0.5042,0.3800751751405187,0.4245427135678392,2.0728733721252426,1.6358024691358024,337.1735804080963
3500,0.52,0.40371427725767717,0.4495678391959799,2.2064855875831486,2.16120218579235,398.7531204223633
4000,0.5317,0.43488197185797617,0.4684422110552764,2.3556191467221645,2.2897526501766783,451.2125828266144
4500,0.5384,0.4397277930402197,0.47899497487437187,2.256154910096819,2.0056818181818183,499.0704026222229
5000,0.5366,0.4447351488835958,0.48458291457286434,2.342368886269888,1.9603960396039604,535.4357793331146
