step,test_acc,mask_ratio,pl_quality,reinforcement_ratio,corrections_ratio,time_elapsed
0,0.1,1.0,0.0008844221105527638,,,46.51320147514343
500,0.2911,0.8356005913357445,0.27310552763819096,0.030508474576271188,3.057142857142857,99.49812364578247
1000,0.3539,0.5202272326569073,0.3448241206030151,0.35252273048475996,1.8204119416801667,149.49190592765808
1500,0.3906,0.43972819874761626,0.3855879396984925,0.5937571548500343,1.8012643224022125,204.9419333934784
2000,0.3962,0.4590355227701366,0.4157185929648241,0.7931276913612796,1.6268844221105527,258.3390130996704
2500,0.4418,0.476218901691027,0.43770854271356785,0.912830149284894,1.4881749219098617,311.13856410980225
3000,0.4347,0.4904044249851722,0.45877386934673364,1.005620193255768,1.4712230215827338,364.11765456199646
3500,0.4731,0.5133730648085475,0.4812462311557789,1.091990483743061,1.489706526500219,415.43058466911316
4000,0.5085,0.5324017652310431,0.5051055276381909,1.2129489712890853,1.5055366269165247,467.61274576187134
4500,0.5014,0.566520418797154,0.5209849246231156,1.3277408831410928,1.291835980790543,522.271443605423
5000,0.5125,0.5920179407207333,0.5367437185929648,1.435683046050939,1.3112346169114728,563.0585706233978
