step,test_acc,mask_ratio,pl_quality,reinforcement_ratio,corrections_ratio,time_elapsed
0,0.1316,1.0,0.0005652173913043478,,,25.967746257781982
500,0.1,0.950733328017897,0.22771739130434782,0.034782608695652174,1.9047619047619047,49.84342670440674
1000,0.1,0.8065282933712006,0.46152173913043476,0.5781315458734814,5.174783974862529,71.00703072547913
1500,0.1829,0.8461086518764496,0.6013478260869565,1.8443396226415094,3.6455070074196207,92.22322463989258
2000,0.3286,0.8644434725046157,0.6817391304347826,3.0001802451333814,2.424055512721665,113.46405243873596
2500,0.5726,0.865922638297081,0.7242173913043478,3.8220610198421165,1.777468152866242,134.75882387161255
3000,0.6989,0.8595535910129547,0.7529347826086956,4.420063461069075,1.575850043591979,155.98953485488892
3500,0.7572,0.844726210474968,0.7723260869565217,5.02428810720268,1.412580943570768,177.2278904914856
4000,0.788,0.8298467463254928,0.7851086956521739,5.523549073230021,1.2941470735367684,198.46609783172607
4500,0.8054,0.8095163897275924,0.7937826086956522,5.886704431856048,1.211111111111111,219.7085030078888
5000,0.8178,0.7864643052816391,0.8032608695652174,6.218117229129662,1.276299112801014,241.0183620452881
5500,0.8266,0.772458352804184,0.8117173913043478,7.027333073018352,1.270138888888889,263.02309703826904
6000,0.8351,0.7562053772211075,0.8191521739130435,7.352476071577195,1.2758064516129033,284.297705411911
6500,0.8402,0.740964306473732,0.8239347826086957,7.925638686131387,1.1943462897526502,305.54594564437866
7000,0.8462,0.7330372225046158,0.8304130434782608,8.78702757916241,1.301314459049545,326.8036992549896
7500,0.8513,0.7269449604749679,0.8336739130434783,9.222888283378747,1.1529051987767585,348.0570147037506
