step,test_acc,mask_ratio,pl_quality,reinforcement_ratio,corrections_ratio,time_elapsed
0,0.1069,0.0,0.0,,,26.27
500,0.3721,0.0962,0.0906,,,50.35
1000,0.4049,0.2438,0.2194,1.752129471890971,1.4183673469387754,71.64
1500,0.4516,0.3,0.3084,2.011348756001746,1.9192307692307693,92.49
2000,0.4531,0.3322,0.3649,1.9904632152588555,1.7115384615384615,113.84
2500,0.4814,0.3575,0.4069,2.1504065040650406,1.7224489795918367,134.93
3000,0.4804,0.3793,0.4405,2.237416351469305,1.7360861759425494,155.89
3500,0.49,0.3984,0.469,2.3935224992834625,1.8411867364746946,176.79
4000,0.5384,0.416,0.495,2.426,1.9413735343383585,197.69
4500,0.548,0.435,0.5127,2.555131004366812,1.5077574047954867,218.56
5000,0.5539,0.4525,0.5317,2.6952801545680374,1.7062314540059347,239.53
5500,0.5506,0.4501,0.5471,2.729855072463768,1.6745655608214849,260.43
6000,0.5779,0.4671,0.5615,2.925411230856495,1.5945945945945945,281.35
6500,0.5981,0.4747,0.5787,3.23017978190392,1.9890625,302.2
7000,0.5981,0.4889,0.5883,3.0879931876241837,1.3401015228426396,323.1
7500,0.6078,0.492,0.5998,3.183608456414712,1.6104815864022664,344.01
8000,0.5894,0.4984,0.609,3.5325610519724484,1.4259012016021362,364.88
8500,0.6448,0.5081,0.6223,3.7533815665303556,1.7564841498559078,386.44
9000,0.6298,0.5182,0.6352,3.9080770530584656,1.7180555555555554,407.46
9500,0.6278,0.5178,0.642,3.9558873430607395,1.3426666666666667,428.38
10000,0.6345,0.5203,0.649,4.292253521126761,1.3620457604306864,449.28
10500,0.6402,0.5336,0.6565,4.036525172754195,1.3842105263157896,470.2
11000,0.6605,0.536,0.6654,4.529154518950437,1.5544267053701015,491.06
11500,0.6563,0.5356,0.6714,4.435277382645804,1.3513513513513513,512.01
12000,0.6513,0.5363,0.6766,4.705576208178439,1.3114754098360655,532.97
12500,0.6749,0.5411,0.6843,4.959736740224545,1.5454545454545454,553.83
13000,0.6637,0.5433,0.6906,4.846553002223869,1.4340490797546013,574.71
13500,0.6849,0.5462,0.6938,5.02913356034809,1.1773981603153745,595.63
14000,0.6765,0.554,0.6971,5.0499075785582255,1.203601108033241,616.56
14500,0.6897,0.5551,0.702,5.143364928909953,1.2951724137931035,637.48
15000,0.691,0.5596,0.7061,5.207889546351085,1.263157894736842,658.44
15500,0.7024,0.5622,0.7085,5.565235008103728,1.1434540389972145,679.34
16000,0.6932,0.5655,0.7116,5.333731105807479,1.2076923076923076,700.33
16500,0.6953,0.5674,0.7127,5.378378378378378,1.0517241379310345,721.26
17000,0.7016,0.5674,0.7167,5.863559322033899,1.302588996763754,742.15
17500,0.7001,0.5763,0.7203,5.8595904722106145,1.2553191489361701,763.01
18000,0.708,0.5778,0.7252,5.788461538461538,1.369951534733441,783.97
18500,0.7047,0.58,0.7269,5.876769358867611,1.1065693430656933,804.87
19000,0.6951,0.5809,0.7281,5.440885725583234,1.0703448275862069,825.78
19500,0.6932,0.5797,0.7305,5.695146409947854,1.1607142857142858,846.65
20000,0.7201,0.5813,0.7345,6.3995642701525055,1.3086816720257235,867.61
20500,0.716,0.5827,0.7355,5.892751165748199,1.062849162011173,888.46
21000,0.7273,0.5843,0.7377,6.018804847471793,1.1538461538461537,909.42
21500,0.72,0.5828,0.7396,6.242274966412897,1.146537842190016,930.34
22000,0.7144,0.584,0.742,6.199379707576429,1.1806656101426307,951.56
22500,0.7023,0.5893,0.743,6.2502187226596675,1.0658105939004816,972.47
23000,0.7128,0.5893,0.7442,5.986105263157895,1.0975609756097562,993.41
23500,0.7073,0.5904,0.7447,6.2206203582350375,1.0284810126582278,1014.37
24000,0.7098,0.5973,0.7469,6.640625,1.1634304207119741,1035.26
24500,0.7254,0.5956,0.7493,6.285592860178496,1.1877133105802047,1056.17
25000,0.7103,0.5995,0.7485,5.968582058701943,0.9430199430199431,1077.47
25500,0.7051,0.5977,0.7497,6.277992277992278,1.086071987480438,1098.41
26000,0.7376,0.5974,0.7494,6.050290939318371,0.9689807976366323,1119.42
26500,0.7279,0.6001,0.7508,6.3679369250985545,1.1004566210045663,1140.53
27000,0.7303,0.6021,0.7528,6.3739696312364424,1.1570512820512822,1161.47
27500,0.7274,0.5978,0.7551,6.403353927625773,1.1912280701754385,1182.34
28000,0.7192,0.6027,0.755,6.917477978674085,0.9921135646687698,1203.21
28500,0.7386,0.6053,0.7571,6.522637362637362,1.1754684838160137,1224.1
29000,0.7351,0.6061,0.7586,6.653098982423682,1.1138845553822152,1245.08
29500,0.7307,0.6087,0.7612,6.65764546684709,1.2228070175438597,1266.0
30000,0.7255,0.6063,0.7624,7.132917466410748,1.099337748344371,1286.94
30500,0.7401,0.6005,0.7618,6.926944971537002,0.9527439024390244,1307.91
31000,0.7307,0.6036,0.7609,6.619909502262443,0.9281524926686217,1328.83
31500,0.7183,0.6114,0.7626,6.83596214511041,1.1534195933456561,1349.74
32000,0.7319,0.6074,0.762,6.774871555347969,0.95,1370.67
32500,0.7395,0.6076,0.7627,6.7071240105540895,1.0509031198686372,1391.59
33000,0.7374,0.6062,0.7618,6.581051716644937,0.9351851851851852,1412.52
33500,0.7243,0.6075,0.7613,6.3474721508140535,0.9554531490015361,1433.42
34000,0.7286,0.6122,0.7625,6.869446962828649,1.0940594059405941,1454.29
